n,time_seconds
20,Command exited with non-zero status 1
0.22
22,Command exited with non-zero status 1
0.22
24,Command exited with non-zero status 1
0.22
26,Command exited with non-zero status 1
0.23
28,Command exited with non-zero status 1
0.21
30,Command exited with non-zero status 1
0.21
