n,time_seconds
11,Command exited with non-zero status 1
0.24
12,Command exited with non-zero status 1
0.26
13,Command exited with non-zero status 1
0.21
14,Command exited with non-zero status 1
0.22
15,Command exited with non-zero status 1
0.22
16,Command exited with non-zero status 1
0.26
